sequence,kind,id,section,title,format,layout_label,size,quality,background,filename,caption,overlay,style,role,prompt_core
53,subsection,6.3,6,Partitive division: fair splitting,H,Half-page conceptual plate,1536x1024,high,opaque,053_6_3_partitive_division_fair_splitting.png,Partitive division asks for the size of each equal part.,,fair-sharing plate,Differentiate sharing division from measurement division.,"Show one whole length or loaf-like object being partitioned into equal shares for several recipients, with the visual emphasis on the size of each share rather than the number of shares. The scene should feel fair, precise, and constructive. Use either a rope cut into equal pieces or a straight segment divided with careful craftsmanship; avoid childish pizza clichés."
54,subsection,6.4,6,Rate division: the missing third type,H,Half-page conceptual plate,1536x1024,high,opaque,054_6_4_rate_division_the_missing_third_type.png,"When unlike magnitudes are divided, a new kind of quantity is born.",,rate-creation plate,Make the unlike-dimensions case feel like the birth of a new kind of quantity.,"Create a striking editorial illustration of a journey through time and distance becoming a new object: a slope, a speedometer-like steepness, or a line through the origin in a distance-time plane. The two axes should be visibly different kinds of magnitude, and the result should feel like a new species, not a number sitting on either axis. Sophisticated, concept-first, physically alive."
55,subsection,6.5,6,Slope is the geometric picture of rate,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,055_6_5_slope_is_the_geometric_picture_of_rate.png,Rate becomes visible as slope.,Overlay axes and rise/run brackets after generation.,slope plate,Anchor rate in the visual steepness of a line.,"Show a clean coordinate scene where several lines through the origin have different steepness, with one highlighted as the line whose rise over run defines a specific rate. The image should make the slope feel like the embodiment of 'how much per one of the other thing.' Elegant graph geometry, no clutter, optional overlay for axes and rise/run markings."
56,subsection,6.6,6,Why the three cases matter,S,Split-screen corrective plate,1536x1024,high,opaque,056_6_6_why_the_three_cases_matter.png,Division is one relation with three very different roles.,,triptych type-awareness plate,Prevent the reader from treating all division answers as the same kind of thing.,"Design a disciplined triptych where the same outer algebraic shell opens into three outputs of visibly different ontological types: a pure count, a same-kind share, and a new combined-dimension quantity. Use color, material, and spatial logic to make the distinction unforgettable. The image should inoculate against the silent unit mistakes that haunt later math and physics."
57,subsection,6.7,6,Historical note: where rate changed the game,V,Historical vignette,1024x1536,high,opaque,057_6_7_historical_note_where_rate_changed_the_game.png,Rate division is where mathematics starts speaking physics fluently.,,historical motion-science tableau,Show rate as the door through which physics enters mathematics.,"Create a scene that links navigation, falling bodies, and moving planets or projectiles through the shared idea of rate. This could be a collage of a ship log, a clock, a ramp experiment, and a trajectory sketch. The point is that dividing unlike magnitudes let mathematics describe motion and the physical world more honestly. Historical, vivid, not cluttered."
58,subsection,6.8,6,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,058_6_8_thought_experiments.png,"Before computing, ask what kind of answer the division should produce.",,classification sketch,Encourage the reader to diagnose which world of division a question belongs to.,"Show three tiny scenes arranged like cards on a table: measuring how many rods fit into a beam, splitting a rope into equal pieces, and reading speed from a climb or journey. Keep them minimal and parallel so the viewer can mentally sort each one by output type. Clear, sparse, almost like flashcards for deep understanding rather than memorization."
59,subsection,7.1,7,The ratio machine,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,059_7_1_the_ratio_machine.png,A ratio can be constructed geometrically rather than memorized symbolically.,"Exact axes, parallels, and labels should be overlaid after generation.",ratio instrument plate,Make the geometric construction of a/b feel like a usable instrument.,"Illustrate the ratio machine with two axes, a point representing a, a point representing b, a connector line, and a parallel through the unit point producing the ratio output. Stage it as a beautifully lit instrument on vellum, almost like a scientific device for extracting pure ratios from magnitudes. Clean geometric scaffolding, enough atmosphere to feel memorable, and room for precise overlays."
60,subsection,7.2,7,What reciprocal actually means,H,Half-page conceptual plate,1536x1024,high,opaque,060_7_2_what_reciprocal_actually_means.png,A reciprocal is the scale that undoes a scale.,,undo-transform plate,Replace the ritual word reciprocal with the lived idea of undo-scaling.,"Show a segment or image first enlarged by a scale factor and then returned exactly to its original size by the inverse scale, with the second action visually coded as the precise undoing of the first. The scene could use a zoom lens, camera crop, or optical projector returning to baseline. The reader should feel the reciprocal as an inverse transformation, not a numerator-denominator flip chant."
61,subsection,7.3,7,Why dividing by a fraction becomes multiplying by its reciprocal,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,061_7_3_why_dividing_by_a_fraction_becomes_multiplying_by_its_reciprocal.png,"The slogan is a consequence of inverse scaling, not the starting point.",Overlay symbols after generation if desired.,fraction-undo derivation plate,Derive the famous rule from inverse actions rather than slogan repetition.,"Compose a clear sequential image: a fractional scale factor acts on a magnitude, then an inverse scale restores the unit, revealing why division by that fraction must be multiplication by its undoing factor. The geometry can be hybrid—part ratio machine, part transformation sequence. The important feeling is inevitability: the algorithm falls out of inverse structure. Precise but visually warm."
62,subsection,7.4,7,Another lens: zoom factors on a screen,H,Half-page conceptual plate,1536x1024,high,opaque,062_7_4_another_lens_zoom_factors_on_a_screen.png,Zoom factors make inverse scaling intuitive.,,screen-zoom analogy plate,Offer a modern intuitive analogy for ratio and reciprocal.,"Show a sophisticated digital zoom interface or camera monitor moving from 100% to 200% and back down to 50%, with the visual emphasis on how one zoom undoes another. The interface should be abstracted and elegant, not brand-specific. The analogy should let an adult learner feel reciprocal scaling in their bones through a familiar modern action."
63,subsection,7.5,7,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,063_7_5_thought_experiments.png,"Think in terms of the operation performed, not only the final quotient.",,quiet instrument thought sketch,Invite the learner to feel the ratio machine as an action sequence.,"Depict a hand moving along a simple ratio instrument, sliding from a known magnitude to the unit point and watching a pure ratio emerge on the other axis. Keep it sparse, like a designer’s sketch of a conceptual tool. The image should invite mental rehearsal of 'what action do I perform, and what kind of thing comes out?'"
64,subsection,8.1,8,Multiplying by -1 is a geometric action,H,Half-page conceptual plate,1536x1024,high,opaque,064_8_1_multiplying_by_1_is_a_geometric_action.png,Multiplying by negative one is the geometry of reversal.,,half-turn symmetry plate,Give -1 a concrete transformation meaning: a half-turn or reversal through the origin.,"Show a point or arrow on a number line being carried through the origin to the opposite side by a clean 180-degree half-turn arc. The object’s magnitude stays intact while orientation reverses. The image should feel crisp and almost ceremonial, like the simplest nontrivial symmetry in the book. Midnight palette, silver linework, no textual clutter."
65,subsection,8.2,8,What (-a)b means,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,065_8_2_what_a_b_means.png,"A negative factor means scale, then reverse orientation.",Overlay small arrow annotations if needed.,factor-and-flip plate,Separate magnitude of scaling from orientation reversal.,"Compose an image where a scale factor of magnitude a acts on b, but a second visual layer adds a flip through the origin. Show that the amount of resizing and the orientation reversal are distinct ingredients that can be composed in either order on the line. Clean transformation sequence, strong visual hierarchy, optional overlay for arrows and signs."
66,subsection,8.3,8,Squares forget orientation,H,Half-page conceptual plate,1536x1024,high,opaque,066_8_3_squares_forget_orientation.png,Squaring erases orientation because two flips cancel.,,double-flip cancellation plate,Make the disappearance of sign under squaring feel like double reversal canceling.,"Illustrate a left-pointing directed segment undergoing the same flip-and-scale action twice, with the first flip sending it across the origin and the second returning orientation to positive while magnitude is squared. The emotional tone should be clarity: direction information cancels, magnitude survives and compounds. Clean symmetry choreography, almost dance-like."
67,subsection,8.4,8,Historical note: the uneasy status of negatives,V,Historical vignette,1024x1536,high,opaque,067_8_4_historical_note_the_uneasy_status_of_negatives.png,Negatives felt suspicious until structure gave them a home.,,historical unease tableau,Show that negatives were long treated as suspect because their meaning was thin.,"Create a restrained historical scene of an early algebraist confronting a negative solution on paper while practical contexts—debts, directions, bookkeeping—hover nearby as the settings that eventually made negatives intelligible. The tone should be thoughtful, not mocking. Candlelight, paper, ink, quiet conceptual tension."
68,subsection,8.5,8,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,068_8_5_thought_experiments.png,Count the reversals and watch the sign take care of itself.,,mirror-thought sketch,"Invite quick mental rehearsal of flip, undo, and double-flip.","Make a sparse sequence with a single arrow on a line, a mirror-like origin, and two successive flips traced in faint arcs. A second tiny panel can show a debt/gain analogy or east/west motion for reinforcement. The point is instant mental replay, not spectacle."
69,subsection,9.1,9,Two legitimate meanings of square,S,Split-screen corrective plate,1536x1024,high,opaque,069_9_1_two_legitimate_meanings_of_square.png,Squaring can mean repeated scaling or two-direction area growth.,,dual-meaning square plate,Hold repeated scaling and area scaling side by side without collapsing them.,"Create a two-panel image. One panel shows a scale factor acting twice along a one-dimensional line of transformations; the other shows a unit square growing into a larger square whose area changes in two directions at once. The panels should echo each other so the learner feels that both are legitimate meanings of square in different roles. Architectural clarity, tactile surfaces, adult elegance."
70,subsection,9.2,9,Why squares appear everywhere,H,Half-page conceptual plate,1536x1024,high,opaque,070_9_2_why_squares_appear_everywhere.png,Squares are the signature of two independent directions combining.,,two-directions plate,Connect squares to independent directions and invariants.,"Show several contexts where two independent directions matter: a square floor tile, a velocity component diagram, a variance cloud, and a Pythagorean right triangle, all quietly linked by a luminous x-squared pattern of growth in two directions. The image should feel like a conceptual family portrait explaining why squares keep returning throughout mathematics and physics."
71,subsection,9.3,9,Square root as an inverse question,H,Half-page conceptual plate,1536x1024,high,opaque,071_9_3_square_root_as_an_inverse_question.png,A square root asks for the side whose square would produce the given whole.,,inverse-square plate,Make root-finding feel like asking for the side that would produce a given square.,"Illustrate a known area as a luminous square field or tiled surface, while an unknown side length is being recovered from it like the unlocking dimension of the figure. The scene should feel like de-compression: a two-direction effect being resolved back into one length-like cause. Calm, architectural, with a sense of inverse restoration rather than trick solving."
72,subsection,9.4,9,Why negatives vanish under squaring,H,Half-page conceptual plate,1536x1024,high,opaque,072_9_4_why_negatives_vanish_under_squaring.png,Opposite directions can generate the same square because orientation is lost.,,orientation-loss plate,Reinforce that squaring discards directional information.,"Show two equal-magnitude directed segments pointing opposite ways feeding into the same resulting square or area block. The transformation should visibly forget the left-right distinction and keep only magnitude. Clean symmetry, muted palette, highly legible composition."
73,subsection,9.5,9,Historical note: the diagonal of the square,V,Historical vignette,1024x1536,high,opaque,073_9_5_historical_note_the_diagonal_of_the_square.png,The diagonal forced mathematics to admit lengths beyond fraction.,,diagonal-shock tableau,Historicize the diagonal as the doorway to irrationality and geometry’s authority.,"Create a quiet but charged image of a square floor tile or drawn square with its diagonal drawn across it, surrounded by measuring cords that never settle into a common exact repeat. Let the diagonal feel almost like a blade opening a crack in the old arithmetic worldview. Stone, chalk, dusk light, seriousness without melodrama."
74,subsection,9.6,9,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,074_9_6_thought_experiments.png,"Grow the square, then ask what side the area is hiding.",,tile-thought sketch,Invite felt experiments with area growth and inverse recovery.,"Show a small set of tiles growing from a 1-by-1 square to a 2-by-2 and 3-by-3 arrangement, then a separate unlabeled square area asking what side could have made it. Minimal, lucid, almost like a note in the margin of an architect’s notebook. The image should trigger mental calculation by structure, not formula."
75,subsection,10.1,10,The tower of operations,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,075_10_1_the_tower_of_operations.png,Exponentiation sits above multiplication the way multiplication sits above addition.,,operation tower plate,Show the ladder from combining moves to scaling to iterated scaling.,"Design a visually elegant tower or ladder in three levels: translations/addition at the base, dilation/multiplication in the middle, and repeated dilation/exponentiation above, each level transforming the previous one. The tower should feel like a structural escalation, not a school poster. Use shared motifs so the viewer senses each operation is iteration or inversion of another."
76,subsection,10.2,10,Powers are repeated resizings,H,Half-page conceptual plate,1536x1024,high,opaque,076_10_2_powers_are_repeated_resizings.png,Powers count repeated resizings.,,growth-ladder plate,"Make exponential growth feel like repeated dilation, not repeated multiplication symbols.","Illustrate a point or object starting at unit size and being repeatedly resized by the same factor, with the spacing between stages visibly exploding for growth larger than one or compressing toward zero for factors between zero and one. The composition should feel like a multiplicative staircase on the number line. Elegant, dynamic, restrained."
77,subsection,10.3,10,The exponent laws are structural facts,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,077_10_3_the_exponent_laws_are_structural_facts.png,Exponent laws record how repeated scaling compositions behave.,Overlay small symbolic annotations after generation.,law-as-composition plate,Show laws like x^a x^b = x^(a+b) as consequences of composition.,"Create a clean transformation diagram where repeated scaling blocks are composed in sequence and then collapsed into one equivalent block with combined count. A second nested diagram can show repeated repeated-scaling leading to multiplication of counts. The image should feel like operational bookkeeping for transformations, not symbolic decree. Crisp, exact, overlay-friendly."
78,subsection,10.4,10,"Fractional exponents are forced, not invented for mischief",H,Half-page conceptual plate,1536x1024,high,opaque,078_10_4_fractional_exponents_are_forced_not_invented_for_mischief.png,Fractional exponents are required by structural consistency.,,forced-extension plate,Make x^(1/n) feel inevitable as the scale that repeated n times gives x.,"Show a scale factor machine being asked to run n times and land on a target size x, with the hidden intermediate factor glowing as the only way to make the system consistent. The image should convey inevitability and continuity: the exponent ladder has to extend if its laws are to survive. Sophisticated mechanical-editorial style, no whimsy."
79,subsection,10.5,10,Logarithms count multiplicative steps,H,Half-page conceptual plate,1536x1024,high,opaque,079_10_5_logarithms_count_multiplicative_steps.png,A logarithm counts multiplicative steps the way division counts additive chunks.,,counting-growth-steps plate,Translate logarithms into the question 'how many equal multiplicative jumps?',"Illustrate a multiplicative ladder or path where each step multiplies by the same factor, and the unknown is not the destination but the number of steps needed to reach it. The visual should rhyme with division in the additive world while living entirely in resizing space. Make it feel lucid and unexpectedly human, like counting jumps across scales."
80,subsection,10.6,10,The logarithmic line,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,080_10_6_the_logarithmic_line.png,"On a log scale, equal spacing means equal ratio, not equal difference.",Overlay exact tick labels later.,log-line plate,Show equal visual spacing standing for equal ratios rather than equal differences.,"Create two aligned number lines or distance tracks: a standard one with equal additive spacing and a logarithmic one where 1, 2, 4, 8, 16 occupy equal visual intervals because each step is the same ratio. The key insight should be embodied, not verbal. Crisp analytic elegance, no unnecessary clutter."
81,subsection,10.7,10,"Historical note: Napier, tables, and the war against drudgery",V,Historical vignette,1024x1536,high,opaque,081_10_7_historical_note_napier_tables_and_the_war_against_drudgery.png,Logarithms were a computational technology before they were a textbook chapter.,,historical computation tableau,Give logarithms their practical historical motive: compressing tedious multiplication work.,"Show an early modern scholar or navigator working with astronomical or navigational tables, papers piled high, while logarithmic tables transform a mountain of multiplications into manageable additions. The tone should be energetic but disciplined, like mathematics inventing a power tool against drudgery. Candlelight, instruments, pages, seriousness."
82,subsection,10.8,10,Why this chapter matters for calculus,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,082_10_8_why_this_chapter_matters_for_calculus.png,Calculus begins when repeated scaling is allowed to become continuous.,,bridge-to-calculus plate,"Bridge growth, exponential structure, and the coming idea of continuous rate.","Design an image where discrete repeated resizings blur into smooth continuous growth, and a curve emerges whose slope seems to echo its own height. The composition should feel like multiplication becoming fluid enough for calculus to grab. Use a subtle transition from stepped structure to continuous curve, intellectually elegant and slightly luminous."
83,subsection,10.9,10,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,083_10_9_thought_experiments.png,Ask how many equal resizings separate one magnitude from another.,,growth-thought sketch,Invite the learner to feel multiplicative spacing and counting of resizings.,"Show a simple ladder of resizings, a shrinking sequence toward zero, and a side note-like multiplicative jump path on a line. The image should feel like a private scratchpad for testing how repeated factors behave. Minimal, clean, and mentally runnable."
84,subsection,11.1,11,Density is not the same as no gaps,S,Split-screen corrective plate,1536x1024,high,opaque,084_11_1_density_is_not_the_same_as_no_gaps.png,Being dense everywhere is not the same as having no gaps.,,density-vs-completeness plate,Visually separate infinite crowdedness from completeness.,"Create a split image. One side shows a line segment crowded with endlessly many rational markers between any two points, yet with a subtle missing target or hole. The other side shows a complete line where a uniquely determined point is allowed to exist as the limit of refinement. The mood should be conceptual clarity, not mysticism. Deep blue, pale light, disciplined composition."
85,subsection,11.2,11,Geometry demands √2,H,Half-page conceptual plate,1536x1024,high,opaque,085_11_2_geometry_demands_2.png,The diagonal exists first; the number system must catch up.,,unit-square diagonal plate,Show that the diagonal is a real geometric object before it is a decimal expansion.,"Illustrate a simple unit square with its diagonal drawn brightly and undeniably present, while the side sits as the chosen unit. The diagonal should feel physically real and geometrically unavoidable, as though it is demanding a place on the number line whether arithmetic is ready or not. Clean stone or parchment texture, quiet authority."
86,subsection,11.3,11,Nested intervals: defining a point by surviving every refinement,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,086_11_3_nested_intervals_defining_a_point_by_surviving_every_refinement.png,A real number can be defined by what survives every successful refinement.,Overlay numeric interval labels after generation.,nested-interval tunnel plate,Make the shrinking-interval idea visually unforgettable.,"Show a sequence of shrinking intervals on a number line or a corridor of progressively tighter transparent frames all locking onto one single surviving point. The visual should feel like repeated refinement converging without anxiety, each narrower frame increasing certainty. Slightly surreal but precise. Keep room for optional labels like 1.4, 1.41, 1.414 if overlaid later."
87,subsection,11.4,11,Connection back to Eudoxus,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,087_11_4_connection_back_to_eudoxus.png,Different chapters are reusing the same deeper method.,,same-pattern bridge plate,Reveal the family resemblance between proportion tests and nested-interval completeness.,"Design a bridge image linking two seemingly different procedures: on one side, Eudoxus-style comparison tests; on the other, nested intervals squeezing toward a point. In the center, show the shared abstract pattern of an object being identified by all the finite tests it passes. This should feel like a deep structural echo across chapters, almost philosophical but still concrete."
88,subsection,11.5,11,Zeno’s shadow and why infinite subdivision does not destroy finiteness,H,Half-page conceptual plate,1536x1024,high,opaque,088_11_5_zeno_s_shadow_and_why_infinite_subdivision_does_not_destroy_finiteness.png,More pieces do not mean more total length.,,Zeno resolution plate,Defuse the intuition that infinitely many pieces must make a length infinite.,"Illustrate a segment repeatedly subdivided into halves, quarters, eighths, and so on, with all pieces still visibly reassembling into the same unchanged whole. The image should reconcile the eye: infinitely many finer descriptions do not make the object longer. Calm, exact, almost meditative, avoiding paradox theater."
89,subsection,11.6,11,Historical note: rigor took time,V,Historical vignette,1024x1536,high,opaque,089_11_6_historical_note_rigor_took_time.png,The modern real line took centuries to become fully explicit.,,long-rigor montage,Historicize the long path from geometric intuition to formal completeness.,"Create a visual timeline montage moving from Greek geometric intuition to nineteenth-century rigor, with figures or symbols associated with completeness, limits, and real-number foundations emerging slowly across time. Keep it elegant and spare, not a crowded museum wall. The point is patience: rigor was built, not dropped from the sky."
90,subsection,11.7,11,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,090_11_7_thought_experiments.png,Let the intervals shrink; watch what remains.,,refinement thought sketch,Invite the reader to inhabit shrinking intervals and the unchanged whole.,"Show a small set of nested boxes, a line segment split finer and finer, and one unwavering point holding still through all the narrowing. The sketch should feel quiet and anti-anxious, as though infinity is being disciplined into something graspable. Minimal, lucid, almost therapeutic for learners who fear the infinite."
91,subsection,A.1,A,Why turning deserves its own chapter,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,091_A_1_why_turning_deserves_its_own_chapter.png,Moving and resizing were never the whole story; turning completes the trio.,,turning-opens-world plate,Elevate turning to equal dignity with moving and resizing.,"Create a compelling bridge image where translation arrows and scaling rays from earlier chapters are joined by a new protagonist: a clean rotating wheel or arm sweeping through angle. The composition should announce that turning is not a side note but another basic mathematical action with its own invariants. Celestial-mechanical mood, serious, elegant, slightly dramatic."
92,subsection,A.2,A,"Angle is amount of turn, not just amount of corner",H,Half-page conceptual plate,1536x1024,high,opaque,092_A_2_angle_is_amount_of_turn_not_just_amount_of_corner.png,"An angle measures a turn, not merely a shape at a corner.",,turn-as-motion plate,Break the frozen-school-diagram idea of angle as merely a corner shape.,"Show a rigid ray or arm rotating from one direction to another, leaving a luminous swept arc behind it. A corner-like static picture can be faintly present in the background, but the foreground must insist that angle is an amount of turning. Dynamic yet clean, like a precision instrument caught in motion. No text."
93,subsection,A.3,A,Radians: the honest unit of angle,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,093_A_3_radians_the_honest_unit_of_angle.png,"A radian is built from the circle itself, not imposed from outside.",Overlay arc and radius marks after generation.,arc-equals-radius plate,Make the arc-length definition of radian intuitive and elegant.,"Illustrate a circle where one radius is lifted and then laid along the circumference, showing that the angle subtended by an arc equal in length to the radius is one natural unit of turn. The image should feel honest and inevitable, not arbitrary like degrees. Clean circle geometry, refined composition, optional overlay for arc and radius markings."
94,subsection,A.4,A,"Sine, cosine, and tangent are shape fingerprints",D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,094_A_4_sine_cosine_and_tangent_are_shape_fingerprints.png,Trig functions are projections and shape relations made visible.,"Exact axes, circle, and projection lines should be overlaid later.",unit-circle projection plate,Turn trig functions into living geometric relationships instead of SOHCAHTOA chants.,"Create a beautiful hybrid image of a point moving around a circle while vertical and horizontal projections drop to form sine and cosine, and a tangent line reveals tangent as a slope-like ratio. The motion around the circle should feel continuous and bodily. Keep the geometry clean enough for later labels, but rich enough to be memorable as art."
95,subsection,A.5,A,"Another lens: shadows, slopes, and the unit circle",H,Half-page conceptual plate,1536x1024,high,opaque,095_A_5_another_lens_shadows_slopes_and_the_unit_circle.png,"Shadows, slopes, and circles are different faces of one turning structure.",,three-lens trig triptych,Offer multiple entrances into trig for different cognitive styles.,"Make a triptych linking a sundial shadow, a hillside or roof slope, and the unit circle projection picture. The same turning quantity should quietly govern all three panels. The goal is cognitive generosity: whichever doorway the learner uses, the underlying structure is the same. Celestial light, clear composition, adult sophistication."
96,subsection,A.6,A,Historical note: trigonometry was forced by the sky,V,Historical vignette,1024x1536,high,opaque,096_A_6_historical_note_trigonometry_was_forced_by_the_sky.png,Trigonometry was born because the sky and the sea demanded it.,,sky-forced trigonometry tableau,"Ground trig in astronomy, navigation, and surveying rather than textbook drills.","Create a night-to-dawn observational scene with astronomers, navigators, or surveyors using angular measurements to locate stars, distances, and directions. The circle of the sky and the practical need to project it into numbers should dominate the mood. Historical, luminous, not romanticized into fantasy."
97,subsection,A.7,A,Why this interlude pays rent later,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,097_A_7_why_this_interlude_pays_rent_later.png,"Turning becomes projection, oscillation, rotation, and eventually waves.",,turning-bridge plate,"Bridge turning to complex numbers, waves, and calculus.","Design a visual bridge where a turning radius on a circle smoothly becomes an oscillating sine wave, a complex-plane rotation, and later a wave or differential-equation motif. This should feel like one idea changing clothes, not several disconnected applications. Elegant continuity, strong visual rhythm, future-facing."
98,subsection,A.8,A,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,098_A_8_thought_experiments.png,"Feel the turn, then watch its projections appear.",,body-turn thought sketch,"Invite the learner to physically feel angle, radian, and projection.","Show a person or arm turning through space, a wheel rolling a radius along its own arc, and a shadow length changing as a light rotates. Keep each mini-scene spare and physically believable. The goal is to make trig inhabit the body before it returns to symbols."
99,subsection,12.1,12,Why the real line is not the whole story,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,099_12_1_why_the_real_line_is_not_the_whole_story.png,Sometimes the old stage is too small for the action we need.,,line-too-small bridge plate,"Make the need for the plane feel like necessity, not fancy extension.","Create an image where the number line literally feels too cramped to host certain transformations, while the plane opens beside it as a larger stage. A line-bound world should be shown reaching a conceptual limit, then unfolding into a two-dimensional arena with room for rotation. The emotional tone should be relief and expansion rather than complication."
100,subsection,12.2,12,A complex number as magnitude and angle,H,Half-page conceptual plate,1536x1024,high,opaque,100_12_2_a_complex_number_as_magnitude_and_angle.png,A complex number can be seen as magnitude plus angle.,,polar-form plate,Introduce complex numbers as vectors with length and direction in the plane.,"Show a vector from the origin to a point in the plane, with magnitude rendered as distance and angle rendered as turn. The composition should make polar form feel natural and bodily: how far, and in what direction. Use subtle radial grids or luminous circle hints, but keep the image uncluttered and elegant. Modern, slightly cosmic, deeply readable."
101,subsection,12.3,12,"Multiplication becomes “multiply magnitudes, add angles”",D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,101_12_3_multiplication_becomes_multiply_magnitudes_add_angles.png,Complex multiplication composes scale with rotation.,Overlay angle arcs and magnitude marks after generation.,rotate-and-scale composition plate,Make complex multiplication feel like composition of rotate-and-scale actions.,"Illustrate two complex transformations composed in sequence: one rotation-and-scaling followed by another, with the final result shown as a single equivalent rotation-and-scaling. Magnitudes should visibly multiply and angles visibly add. Think of a modernist kinetic diagram or precision watchmaking for transformations. Clean enough for labels later, vivid enough to stick in memory."
102,subsection,12.4,12,What i really is,H,Half-page conceptual plate,1536x1024,high,opaque,102_12_4_what_i_really_is.png,i is the quarter-turn that sends one axis into the other.,,quarter-turn plate,Give i a geometric body as the quarter-turn.,"Show the positive real axis rotating cleanly ninety degrees onto the imaginary axis, with the quarter-turn itself as the central event. The scene should feel like the simplest possible nontrivial complex action: no scaling, only perfect rotation. Minimal, luminous, high-contrast, unforgettable."
103,subsection,12.5,12,Square roots of negatives,H,Half-page conceptual plate,1536x1024,high,opaque,103_12_5_square_roots_of_negatives.png,A square root of negative one is a quarter-turn whose double is a half-turn.,,half-turn-halved plate,Make √-1 feel like the half-turn’s half-turn.,"Illustrate a half-turn from the positive real axis to the negative real axis, then visually split that rotation into two equal quarter-turns, the first of which becomes the square root of negative one. The image should make the idea feel elegant and unsurprising once rotation is allowed. Minimal but conceptually sharp."
104,subsection,12.6,12,Euler’s formula as compressed geometry,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,104_12_6_euler_s_formula_as_compressed_geometry.png,Euler’s formula is continuous rotation written in exponential language.,,Euler bridge plate,Show continuous rotation generating the unit circle and linking exponentials to trig.,"Create a stunning but disciplined image where a smooth rotational flow traces the unit circle while simultaneously appearing as exponential accumulation in the complex plane. Cosine and sine should appear as projection shadows or components, not as random floating formulas. The scene should feel like one of mathematics’ great compressions: growth language learning to speak rotation. Modernist, luminous, precise, adult."
105,subsection,12.7,12,Historical note: from suspicion to indispensability,V,Historical vignette,1024x1536,high,opaque,105_12_7_historical_note_from_suspicion_to_indispensability.png,Impossible numbers became necessary when their geometry was understood.,,historical acceptance montage,Humanize the long shift from calling complex numbers impossible to using them everywhere.,"Create a sequence moving from skeptical algebra on paper to elegant geometric plane interpretation to modern engineering or physics applications that quietly depend on complex numbers. The tone should be measured and respectful: an idea once mocked becomes indispensable once its geometry is seen. Rich paper textures, modern glow at the end, no triumphal kitsch."
106,subsection,12.8,12,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,106_12_8_thought_experiments.png,Compose the turns and the scales in your head and watch the law emerge.,,compass-rotation sketch,Invite mental rehearsal of rotate-and-scale composition.,"Show a simple arrow in the plane being rotated, then rotated again, while also being stretched. A small unit-circle component shadow can sit nearby. The sketch should feel like a private rehearsal for understanding complex multiplication without formalism. Sparse, exact, mentally runnable."
107,subsection,13.1,13,Vectors are directed segments generalized,H,Half-page conceptual plate,1536x1024,high,opaque,107_13_1_vectors_are_directed_segments_generalized.png,A vector is the old directed segment grown into richer space.,,space-arrow plate,Expand the arrow idea from the line into the plane and space without breaking the original intuition.,"Illustrate arrows living in two and three dimensions, all understood as directed segments that can be translated without changing their identity. A few arrows should share magnitude and direction in different locations to emphasize free-vector thinking. Clean spatial engineering aesthetic, subtle depth, no clutter."
108,subsection,13.2,13,Magnitude becomes a norm,H,Half-page conceptual plate,1536x1024,high,opaque,108_13_2_magnitude_becomes_a_norm.png,Norm is the higher-dimensional descendant of length.,,norm plate,Show length in higher dimensions as an invariant under rotations.,"Create a spatial scene where a vector rotates through different orientations while a glowing sphere or circular shell of constant norm remains fixed. The image should teach that magnitude in higher dimensions is not guesswork but the invariant preserved by rotation. Elegant, high-clarity, restrained palette of steel and light."
