prompt_id,section_id,title,visual_family,placement,priority,regeneration_priority,recommended_model,api_quality,api_size,recommended_variants,reference_tags,caption,overlay_notes,assembled_prompt
GFV6-4_10-A,4.10,Thought experiments,Vellum-and-instrument geometry,margin prompt,core,normal,gpt-image-1.5,medium,1024x1024,1,SYS.1 brass_unit_stick,Equal ratio means no test can distinguish them.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a tray of small comparison cards: each card shows stacks of copies being compared, with green/red tipping results The cards for two ratios line up like a memory game.
Conceptual action: Equal ratio means every comparison test gives matching behavior; reader sees the invitation to testing more and more cards
Composition: interactive puzzle-like still life; one object and one visible manipulation; generous empty space for margin placement
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: small margin plate for reflective adult learning"
GFV6-4_11-A,4.11,What this section teaches beyond geometry,Vellum-and-instrument geometry,motif bridge,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick; SYS.2 amber_invariant_glow,Mathematics often defines an object by all tests it survives.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a triptych linking Eudoxus comparisons, nested intervals, and calculus limits.
Conceptual action: Mathematics often defines an object by all tests it survives; in each panel, finite approximations surround a central object that is never touched directly but becomes forced into clarity
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-5-A,5,"Multiplication as scaling, not repeated chanting",Vellum-and-instrument geometry,chapter opener,core,normal,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,Multiplication is fundamentally resizing.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a small geometric figure projected by a lantern onto a larger wall, preserving shape while changing size.
Conceptual action: Multiplication is fundamentally resizing; a second dim shadow made of repeated blocks sits off to the side as only one limited interpretation
Composition: chapter-opener plate; one dominant metaphor with two or three supporting objects; wide negative space for title overlay
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-5_1-A,5.1,Repeated addition is only one shadow of multiplication,Vellum-and-instrument geometry,conceptual split image,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,"Repeated addition is a special case, not the whole meaning.","Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: the full object called multiplication as a 3D dilation sculpture casting a flat shadow made of repeated equal blocks.
Conceptual action: Repeated addition is a special case, one narrow shadow of the meaning; the shadow is useful but incomplete
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-5_2-A,5.2,Dilation: the clean geometric meaning,Vellum-and-instrument geometry,diagram-art hybrid,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Dilation scales distances from a fixed center.,"Overlay optional for center, rays, and scale factor. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: points radiating from a fixed center through a pantograph-like mechanism.
Conceptual action: Dilation scales distances from a fixed center; each point moves along its ray farther from the center by the same scale factor
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-5_3-A,5.3,The similar-triangle multiplication machine,Vellum-and-instrument geometry,primary technical plate,core,medium,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,Multiplication is earned by similarity and parallel transfer.,"Vector overlay required for labels, product, and parallel marks. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: brass drafting apparatus on translucent vellum
Subject: two rays from one origin, one movable point on the first ray, one height point on the second ray, one parallel guide arm
Conceptual action: show multiplication as a scale transferred by similar triangles
Composition: apparatus only; exact rays, points, and parallel lines will be drawn as vector overlay; leave wide clean margins
Materials / medium: brass pins, taut thread, clear guide arm, vellum layers, soft overhead light
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-5_3-C,5.3-C,Similar-triangle multiplication machine - clean overlay plate,Vellum-and-instrument geometry,technical-art plate,optional,medium,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,The art plate provides atmosphere; the overlay supplies exact labels.,"Add origin, unit, factor, input height, output height, and parallel marks in layout. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: blank technical construction plate prepared for vector overlay
Subject: empty vellum, origin pin, two ray guides, one movable guide arm, one taut diagonal thread
Conceptual action: provide the physical scaffold for the similar-triangle multiplication machine
Composition: top-down, 70 percent clean vellum, apparatus endpoints clearly visible
Materials / medium: pale vellum, brass pins, graphite smudges, taut linen thread
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: companion plate designed to receive exact vector diagram overlays"
GFV6-5_3-B-A,5.3-B,The similar-triangle multiplication machine - learner close-up,Vellum-and-instrument geometry,optional secondary plate,optional,medium,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,The product is the height forced by a similarity machine.,"Overlay optional for one concrete example. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: the same multiplication idea as a satisfying physical scale copier: a small triangular frame and a larger similar triangular frame connected by synchronized parallel arms.
Conceptual action: The product is the height forced by a similarity machine; a vertical output gauge rises because shape is preserved under scale; exact construction lines are reserved for vector overlay.
Composition: minimal apparatus centered on blank vellum; 70 percent clean overlay area; one construction scaffold only
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: companion plate designed to receive exact vector diagram overlays"
GFV6-5_4-A,5.4,Three meanings that textbooks collapse into one symbol,Vellum-and-instrument geometry,triptych,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,The same symbol can package different typed actions.,"Overlay for type signatures recommended. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: three glass cases: a scale factor stretching a rope, two lengths forming a rectangle of area, and two pure scale factors composing like gears.
Conceptual action: The same symbol can package different typed actions; each case uses the same multiplication glyph as a small removable tag outside the glass, implying one symbol covers different type signatures
Composition: exactly three equal panels with blank gutters; one conceptual role per panel; each panel contains at most two main objects
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-5_5-A,5.5,Why multiplication is commutative,Vellum-and-instrument geometry,mirror composition,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Scaling by a then b gives the same pure scale as b then a in this setting.,"Overlay for swapped roles recommended. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: two rays crossing at an origin with two similar-triangle constructions mirrored across a diagonal.
Conceptual action: Scaling by a then b gives the same pure scale as b then a in this setting; the outputs meet at the same product height from opposite interpretive routes
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-5_6-A,5.6,Distributivity becomes geometric,Vellum-and-instrument geometry,animated still plate,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Dilation carries joined pieces to joined scaled pieces.,"Overlay optional for segment labels. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a two-colored ribbon made of segments b and c being enlarged by a dilation.
Conceptual action: Dilation carries joined pieces to joined scaled pieces; after scaling, the join between colors remains exactly between the scaled pieces
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-5_7-A,5.7,Historical note: geometry and algebra eventually shake hands,Vellum-and-instrument geometry,split historical tableau,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Algebra and geometry became mutually translating languages.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: instrument-led historical still life; one era-specific work surface, closed books, blank tools only
Subject: on one side, show Euclidean diagrams on parchment; on the other, algebraic symbols emerging on a merchant's slate.
Conceptual action: Algebra and geometry became mutually translating languages; in the center, similar triangles and equations clasp through a mechanical bridge
Composition: single still-life or one restrained historical scene; exactly one practical problem is visible through instruments
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: closed books, blank paper, abstract ticks only; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: historical editorial plate; context comes from instruments and one practical problem; restrained scene"
GFV6-5_8-A,5.8,Thought experiments,Vellum-and-instrument geometry,margin image,core,normal,gpt-image-1.5,medium,1024x1024,1,SYS.1 brass_unit_stick; SYS.2 amber_invariant_glow,Imagine resizing the whole world and ask what survives.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a simple shape under three zoom settings: same shape, different sizes, with one marked join inside the shape remaining proportionally located.
Conceptual action: Imagine resizing the whole world and ask what survives; reader sees the invitation to dragging the zoom slider and watching every distance scale together
Composition: interactive puzzle-like still life; one object and one visible manipulation; generous empty space for margin placement
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: small margin plate for reflective adult learning"
GFV6-6-A,6,Division as inverse scaling,Vellum-and-instrument geometry,chapter opener,core,medium,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,Division is one inverse relation with three different roles.,"Overlay optional for type signatures. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a quiet three-door threshold for division, but distinguish the doors only by action: copies fitting into a whole, a whole being split into equal shares, and a slope line connecting unlike axes.
Conceptual action: Division is one inverse relation with three different roles; the same small unknown-scale token sits before all three doors
Composition: chapter-opener plate; one dominant metaphor with two or three supporting objects; wide negative space for title overlay
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-6_1-A,6.1,The single equation behind all division,Vellum-and-instrument geometry,mechanical metaphor,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Division asks for the missing transformation.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a machine with input b and output a, but the central scale gear is missing.
Conceptual action: Division asks for the missing transformation; a hand is selecting the gear that would make the transformation work
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-6_1-B,6.1-B,Division roles - restrained triptych,Vellum-and-instrument geometry,triptych,optional,medium,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,Division is one inverse relation with three different roles.,"Overlay panel labels later: measurement, sharing, rate. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: single tabletop divided into exactly three equal panels
Subject: left: copy-fitting; center: fair splitting; right: slope/rate between unlike axes
Conceptual action: show the three roles of division separated into one panel each
Composition: three panels; one role per panel; each panel has one focal object
Materials / medium: wood table, brass rods, ribbon strip, slope ramp, blank vellum axes
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: companion plate designed to receive exact vector diagram overlays"
GFV6-6_2-A,6.2,Quotitive division: measurement,Vellum-and-instrument geometry,horizontal tactile image,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Length divided by length produces a pure ratio.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a long plank being measured by repeated placement of a smaller standard block.
Conceptual action: Length divided by length produces a pure ratio; the output is a pure count/ratio object; it is the count/ratio implied by how many times the block fits
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-6_3-A,6.3,Partitive division: fair splitting,Vellum-and-instrument geometry,top-down plate,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Length divided by count produces a smaller length.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a single cloth strip being divided into equal shares by parallel guide lines, with one share lifted slightly as the answer.
Conceptual action: Length divided by count produces a smaller length; the divisor is implied as a count of shares, a count of shares rather than a second length
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-6_4-A,6.4,Rate division: the missing third type,Vellum-and-instrument geometry,cinematic axis metaphor,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Unlike quantities divide into a new kind of quantity: rate.,"Overlay recommended for axes and units. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a train moving across a landscape where the horizontal axis is time and the vertical climb is distance.
Conceptual action: Unlike quantities divide into a new kind of quantity: rate; a glowing diagonal path connects the origin to the journey point
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-6_5-A,6.5,Slope is the geometric picture of rate,Vellum-and-instrument geometry,technical plate,core,medium,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,Rate is steepness in a plane whose axes carry different units.,"Overlay for sample units recommended. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: two-axis rate table with unlike physical rails
Subject: one horizontal time rail and one vertical distance rail meet at an origin pin; one ramp connects origin to a journey point
Conceptual action: show rate as steepness produced by unlike magnitudes
Composition: one slope ramp only; axes are blank rails, blank physical rails; leave endpoint label area empty
Materials / medium: dark table, brass rails, glass ramp, amber endpoint bead
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-6_5-B-A,6.5-B,Slope is the geometric picture of rate - alternate,Vellum-and-instrument geometry,optional conceptual image,optional,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,The quotient is not on either axis; it is the relation between axes.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a mountain trail where every horizontal stride corresponds to time and every vertical rise corresponds to distance.
Conceptual action: The quotient lives as the relation between axes; the same path has a constant incline; the incline itself is highlighted as a new object; exact construction lines are reserved for vector overlay.
Composition: minimal apparatus centered on blank vellum; 70 percent clean overlay area; one construction scaffold only
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: companion plate designed to receive exact vector diagram overlays"
GFV6-6_6-A,6.6,Why the three cases matter,Vellum-and-instrument geometry,triptych corrective,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Type signatures decide what kind of answer division produces.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: the same central division symbol as a neutral mask worn by three different bodies: same-kind measurement, count-based sharing, unlike-kind rate.
Conceptual action: Type signatures decide what kind of answer division produces; each body has different output material: pure light token, smaller segment, angled slope ribbon
Composition: exactly three equal panels with blank gutters; one conceptual role per panel; each panel contains at most two main objects
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-6_7-A,6.7,Historical note: where rate changed the game,Vellum-and-instrument geometry,historical note plate,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Physics begins when unlike magnitudes are compared by rate.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: instrument-led historical still life; one era-specific work surface, closed books, blank tools only
Subject: an inclined plane, water clock, rolling ball, and a notebook of measured distances arranged under moonlit workshop light.
Conceptual action: Physics begins when unlike magnitudes are compared by rate; the visual story is that motion forced mathematics to divide distance by time, birthing rate as a serious object
Composition: single still-life or one restrained historical scene; exactly one practical problem is visible through instruments
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: closed books, blank paper, abstract ticks only; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: historical editorial plate; context comes from instruments and one practical problem; restrained scene"
GFV6-6_8-A,6.8,Thought experiments,Vellum-and-instrument geometry,margin prompt,core,normal,gpt-image-1.5,medium,1024x1024,1,SYS.1 brass_unit_stick,Ask what kinds of things are being divided before calculating.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: cards showing length/length, length/count, distance/time, mass/volume, and force/area into three trays.
Conceptual action: Ask what kinds of things are being divided before calculating; each tray produces a different output token
Composition: interactive puzzle-like still life; one object and one visible manipulation; generous empty space for margin placement
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: small margin plate for reflective adult learning"
GFV6-7-A,7,Constructing ratios geometrically,Vellum-and-instrument geometry,chapter opener,core,normal,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,Division can be constructed by similarity before it becomes a slogan.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a handcrafted ratio machine of pins, threads, and parallel arms producing an output height from two input lengths.
Conceptual action: Division can be constructed by similarity before it becomes a slogan; it feels like a secret calculator built from pure geometry
Composition: chapter-opener plate; one dominant metaphor with two or three supporting objects; wide negative space for title overlay
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-7_1-A,7.1,The ratio machine,Vellum-and-instrument geometry,technical plate,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,A quotient is the scale forced by a parallel construction.,"Vector overlay required for a, b, 1, and q labels. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: ratio construction apparatus on blank vellum
Subject: two rays, one connector thread, one parallel guide passing through a unit marker position
Conceptual action: show division as finding the scale factor that transfers one magnitude to another
Composition: top-down technical plate; exact geometry added later; apparatus endpoints obvious and uncluttered
Materials / medium: vellum, brass pins, linen thread, clear acrylic parallel guide
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-7_2-A,7.2,What reciprocal actually means,Vellum-and-instrument geometry,conceptual metaphor,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,A reciprocal is an inverse scaling transformation.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: a camera lens zoomed in by a factor, then a second lens setting that exactly undoes the zoom and returns the image to original size.
Conceptual action: A reciprocal is an inverse scaling transformation; the reciprocal is visualized as the undo-setting on the same mechanism, as the undo-setting on the same mechanism
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-7_3-A,7.3,Why dividing by a fraction becomes multiplying by its reciprocal,Vellum-and-instrument geometry,process plate,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,"Invert-and-multiply is a theorem about undoing scale, not a chant.","Overlay optional for one concrete numerical example. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: two constructed fractional lengths being fed into the ratio machine, then a separate undo-scaling gear transforming the divisor back to the unit before scaling the numerator.
Conceptual action: Invert-and-multiply is a theorem about undoing scale, a theorem about undoing scale; it a clean two-stage causal story: build the lengths, find the inverse scaling
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-7_3-B-A,7.3-B,Dividing fractions - alternate anti-slogan,Vellum-and-instrument geometry,optional split panel,optional,medium,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,The rule is a shadow of inverse scaling.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: an anti-slogan image: on the left, a hand holds a blank fraction-shaped card about to be flipped, but the card is shadowy and secondary; on the right, a real inverse-scaling machine rescales one constructed segment into another using parallel guides.
Conceptual action: The rule is a shadow of inverse scaling; the point is that 'invert and multiply' is only a shadow of undoing a scaling; exact construction lines are reserved for vector overlay.
Composition: minimal apparatus centered on blank vellum; 70 percent clean overlay area; one construction scaffold only
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: companion plate designed to receive exact vector diagram overlays"
GFV6-7_4-A,7.4,"Cross-multiplication is a late shadow, not the meaning",Vellum-and-instrument geometry,corrective image,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick,Cross-multiplication is compressed evidence of a deeper proportion relation.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: the rich ratio machine casting a flat cross-shaped shadow on a wall.
Conceptual action: Cross-multiplication is compressed evidence of a deeper proportion relation; the shadow is useful and recognizable but visibly downstream from the 3D construction
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
GFV6-7_5-A,7.5,Another lens: zoom factors on a screen,Vellum-and-instrument geometry,modern analogy,core,normal,gpt-image-1.5,high,1536x1024,1,SYS.1 brass_unit_stick; SYS.3 refinement_lens,A ratio is the zoom factor that makes one magnitude match another.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: drafting table with translucent vellum, brass pins, taut thread, straightedge, compass, and controlled studio light
Subject: an image on a monitor being resized by a zoom factor.
Conceptual action: A ratio is the zoom factor that makes one magnitude match another; a second image must be scaled to match the first, and the unknown zoom slider glows
Composition: spacious construction stage; exact theorem lines reserved for vector overlay; one apparatus in focus
Materials / medium: photographed construction apparatus; vellum layers, brass, graphite shadows, thread tension, glass reflections
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: diagram-art hybrid for geometry-first instruction"
